user_id,event_type,event_time
user_35,browse,2025-06-08 23:00:00
user_36,signup,2025-06-08 00:00:00
user_36,browse,2025-06-08 11:00:00
user_36,add_to_cart,2025-06-08 19:00:00
user_36,purchase,2025-06-09 11:00:00
user_37,signup,2025-06-07 00:00:00
user_37,browse,2025-06-07 19:00:00
user_37,add_to_cart,2025-06-08 03:00:00
user_38,signup,2025-06-26 00:00:00
user_38,browse,2025-06-26 22:00:00
user_38,add_to_cart,2025-06-27 12:00:00
user_39,signup,2025-06-28 00:00:00
user_39,browse,2025-06-28 21:00:00
user_39,add_to_cart,2025-06-29 10:00:00
user_40,signup,2025-06-26 00:00:00
user_40,browse,2025-06-26 07:00:00
user_40,add_to_cart,2025-06-26 12:00:00
user_41,signup,2025-06-09 00:00:00
user_42,signup,2025-06-03 00:00:00
user_43,signup,2025-06-18 00:00:00
user_43,browse,2025-06-18 18:00:00
user_44,signup,2025-06-03 00:00:00
user_45,signup,2025-06-06 00:00:00
user_45,browse,2025-06-06 13:00:00
user_46,signup,2025-06-06 00:00:00
user_47,signup,2025-06-09 00:00:00
user_47,browse,2025-06-09 10:00:00
user_47,add_to_cart,2025-06-10 10:00:00
user_48,signup,2025-06-18 00:00:00
user_48,browse,2025-06-18 07:00:00
user_48,add_to_cart,2025-06-18 09:00:00
user_49,signup,2025-06-18 00:00:00
user_49,browse,2025-06-18 02:00:00
user_49,add_to_cart,2025-06-18 19:00:00
user_50,signup,2025-06-17 00:00:00
user_51,signup,2025-06-03 00:00:00
user_51,browse,2025-06-03 03:00:00
user_52,signup,2025-06-08 00:00:00
user_53,signup,2025-06-19 00:00:00
user_53,browse,2025-06-19 20:00:00
user_53,add_to_cart,2025-06-20 18:00:00
user_54,signup,2025-06-17 00:00:00
user_54,browse,2025-06-17 22:00:00
user_55,signup,2025-06-08 00:00:00
user_55,browse,2025-06-08 21:00:00
user_55,add_to_cart,2025-06-09 08:00:00
user_56,signup,2025-06-30 00:00:00
user_56,browse,2025-06-30 19:00:00
user_57,signup,2025-06-03 00:00:00
user_57,browse,2025-06-03 05:00:00
user_58,signup,2025-06-29 00:00:00
user_58,browse,2025-06-29 10:00:00
user_58,add_to_cart,2025-06-30 04:00:00
user_59,signup,2025-06-20 00:00:00
user_60,signup,2025-06-17 00:00:00
user_61,signup,2025-06-10 00:00:00
user_61,browse,2025-06-10 05:00:00
user_61,add_to_cart,2025-06-10 09:00:00
user_62,signup,2025-06-05 00:00:00
user_62,browse,2025-06-05 23:00:00
user_62,add_to_cart,2025-06-06 21:00:00
user_63,signup,2025-06-09 00:00:00
user_63,browse,2025-06-09 02:00:00
user_63,add_to_cart,2025-06-09 16:00:00
user_64,signup,2025-06-02 00:00:00
user_64,browse,2025-06-02 21:00:00
user_65,signup,2025-06-06 00:00:00
user_65,browse,2025-06-06 14:00:00
user_65,add_to_cart,2025-06-06 18:00:00
user_65,purchase,2025-06-07 17:00:00
user_66,signup,2025-06-29 00:00:00
user_66,browse,2025-06-29 12:00:00
user_66,add_to_cart,2025-06-29 17:00:00
user_67,signup,2025-06-02 00:00:00
user_68,signup,2025-06-26 00:00:00
user_68,browse,2025-06-26 12:00:00
user_68,add_to_cart,2025-06-26 20:00:00
user_69,signup,2025-06-12 00:00:00
user_70,signup,2025-06-14 00:00:00
user_70,browse,2025-06-14 08:00:00
user_71,signup,2025-06-26 00:00:00
user_72,signup,2025-06-01 00:00:00
user_73,signup,2025-06-26 00:00:00
user_74,signup,2025-06-28 00:00:00
user_74,browse,2025-06-28 06:00:00
user_75,signup,2025-06-04 00:00:00
user_75,browse,2025-06-04 16:00:00
user_75,add_to_cart,2025-06-05 07:00:00
user_76,signup,2025-06-27 00:00:00
user_76,browse,2025-06-27 01:00:00
user_77,signup,2025-06-13 00:00:00
user_78,signup,2025-07-01 00:00:00
user_78,browse,2025-07-01 17:00:00
user_78,add_to_cart,2025-07-02 11:00:00
user_79,signup,2025-06-01 00:00:00
user_80,signup,2025-06-06 00:00:00
user_81,signup,2025-06-02 00:00:00
user_81,browse,2025-06-03 00:00:00
user_82,signup,2025-06-14 00:00:00
user_82,browse,2025-06-14 13:00:00
user_83,signup,2025-06-07 00:00:00
user_83,browse,2025-06-07 01:00:00
user_83,add_to_cart,2025-06-07 19:00:00
user_84,signup,2025-07-01 00:00:00
user_84,browse,2025-07-01 12:00:00
user_84,add_to_cart,2025-07-02 10:00:00
user_85,signup,2025-06-20 00:00:00
user_86,signup,2025-06-24 00:00:00
user_86,browse,2025-06-24 22:00:00
user_86,add_to_cart,2025-06-25 11:00:00
user_87,signup,2025-06-18 00:00:00
user_87,browse,2025-06-18 13:00:00
user_88,signup,2025-06-29 00:00:00
user_88,browse,2025-06-29 13:00:00
user_88,add_to_cart,2025-06-29 14:00:00
user_89,signup,2025-06-07 00:00:00
user_89,browse,2025-06-07 21:00:00
user_89,add_to_cart,2025-06-08 12:00:00
user_90,signup,2025-06-07 00:00:00
user_90,browse,2025-06-08 00:00:00
user_90,add_to_cart,2025-06-08 03:00:00
user_90,purchase,2025-06-09 01:00:00
user_91,signup,2025-06-21 00:00:00
user_91,browse,2025-06-21 08:00:00
user_92,signup,2025-06-08 00:00:00
user_92,browse,2025-06-08 02:00:00
user_92,add_to_cart,2025-06-08 18:00:00
user_93,signup,2025-06-25 00:00:00
user_93,browse,2025-06-25 21:00:00
user_93,add_to_cart,2025-06-26 20:00:00
user_94,signup,2025-06-16 00:00:00
user_94,browse,2025-06-16 23:00:00
user_94,add_to_cart,2025-06-17 03:00:00
user_95,signup,2025-06-08 00:00:00
user_96,signup,2025-06-17 00:00:00
user_96,browse,2025-06-17 04:00:00
user_96,add_to_cart,2025-06-17 19:00:00
user_97,signup,2025-06-18 00:00:00
user_98,signup,2025-06-29 00:00:00
user_99,signup,2025-06-29 00:00:00
user_100,signup,2025-06-18 00:00:00
user_100,browse,2025-06-18 16:00:00
user_100,add_to_cart,2025-06-19 00:00:00
user_101,signup,2025-06-09 00:00:00
user_101,browse,2025-06-09 21:00:00
user_101,add_to_cart,2025-06-10 12:00:00
user_101,purchase,2025-06-10 22:00:00
user_102,signup,2025-06-08 00:00:00
user_102,browse,2025-06-08 18:00:00
user_102,add_to_cart,2025-06-08 23:00:00
user_102,purchase,2025-06-09 22:00:00
user_103,signup,2025-06-05 00:00:00
user_103,browse,2025-06-05 14:00:00
user_103,add_to_cart,2025-06-06 05:00:00
user_104,signup,2025-06-07 00:00:00
user_104,browse,2025-06-07 19:00:00
user_105,signup,2025-06-01 00:00:00
user_105,browse,2025-06-01 13:00:00
user_105,add_to_cart,2025-06-02 01:00:00
user_105,purchase,2025-06-02 14:00:00
user_106,signup,2025-06-28 00:00:00
user_107,signup,2025-06-18 00:00:00
user_107,browse,2025-06-18 20:00:00
user_108,signup,2025-06-16 00:00:00
user_108,browse,2025-06-16 01:00:00
user_108,add_to_cart,2025-06-16 23:00:00
user_109,signup,2025-06-13 00:00:00
user_110,signup,2025-06-30 00:00:00
user_110,browse,2025-06-30 01:00:00
user_111,signup,2025-06-19 00:00:00
user_111,browse,2025-06-19 21:00:00
user_111,add_to_cart,2025-06-20 12:00:00
user_111,purchase,2025-06-20 21:00:00
user_112,signup,2025-06-13 00:00:00
user_112,browse,2025-06-13 11:00:00
user_113,signup,2025-06-13 00:00:00
user_114,signup,2025-06-14 00:00:00
user_114,browse,2025-06-14 01:00:00
user_115,signup,2025-06-02 00:00:00
user_115,browse,2025-06-02 21:00:00
user_115,add_to_cart,2025-06-03 18:00:00
user_115,purchase,2025-06-03 19:00:00
user_116,signup,2025-07-01 00:00:00
user_117,signup,2025-06-20 00:00:00
user_117,browse,2025-06-20 22:00:00
user_117,add_to_cart,2025-06-21 05:00:00
user_118,signup,2025-06-09 00:00:00
user_118,browse,2025-06-09 20:00:00
user_119,signup,2025-06-23 00:00:00
user_120,signup,2025-07-01 00:00:00
user_120,browse,2025-07-01 10:00:00
user_120,add_to_cart,2025-07-01 23:00:00
user_121,signup,2025-06-23 00:00:00
user_121,browse,2025-06-23 21:00:00
user_121,add_to_cart,2025-06-24 20:00:00
user_122,signup,2025-06-28 00:00:00
user_123,signup,2025-06-26 00:00:00
user_123,browse,2025-06-26 12:00:00
user_123,add_to_cart,2025-06-27 10:00:00
user_124,signup,2025-06-17 00:00:00
user_124,browse,2025-06-17 14:00:00
user_125,signup,2025-06-04 00:00:00
user_125,browse,2025-06-04 15:00:00
user_126,signup,2025-06-14 00:00:00
user_126,browse,2025-06-14 21:00:00
user_126,add_to_cart,2025-06-15 15:00:00
user_127,signup,2025-06-15 00:00:00
user_127,browse,2025-06-15 09:00:00
user_127,add_to_cart,2025-06-15 17:00:00
user_128,signup,2025-06-03 00:00:00
user_128,browse,2025-06-03 15:00:00
user_128,add_to_cart,2025-06-04 13:00:00
user_129,signup,2025-06-01 00:00:00
user_129,browse,2025-06-01 16:00:00
user_129,add_to_cart,2025-06-02 01:00:00
user_130,signup,2025-06-29 00:00:00
user_131,signup,2025-06-18 00:00:00
user_132,signup,2025-06-03 00:00:00
user_132,browse,2025-06-03 18:00:00
user_133,signup,2025-06-23 00:00:00
user_133,browse,2025-06-23 15:00:00
user_134,signup,2025-06-03 00:00:00
user_134,browse,2025-06-03 08:00:00
user_134,add_to_cart,2025-06-04 03:00:00
user_135,signup,2025-06-18 00:00:00
user_135,browse,2025-06-19 00:00:00
user_135,add_to_cart,2025-06-19 12:00:00
user_136,signup,2025-06-09 00:00:00
user_136,browse,2025-06-10 00:00:00
user_136,add_to_cart,2025-06-10 04:00:00
user_137,signup,2025-07-01 00:00:00
user_137,browse,2025-07-01 07:00:00
user_138,signup,2025-06-09 00:00:00
user_139,signup,2025-06-17 00:00:00
user_140,signup,2025-06-27 00:00:00
user_140,browse,2025-06-27 06:00:00
user_140,add_to_cart,2025-06-28 05:00:00
user_141,signup,2025-06-09 00:00:00
user_141,browse,2025-06-09 10:00:00
user_142,signup,2025-06-05 00:00:00
user_142,browse,2025-06-05 04:00:00
user_143,signup,2025-06-19 00:00:00
user_143,browse,2025-06-19 11:00:00
user_143,add_to_cart,2025-06-19 13:00:00
user_143,purchase,2025-06-20 05:00:00
user_144,signup,2025-06-04 00:00:00
user_144,browse,2025-06-04 03:00:00
user_144,add_to_cart,2025-06-05 01:00:00
user_144,purchase,2025-06-05 06:00:00
user_145,signup,2025-06-26 00:00:00
user_145,browse,2025-06-26 08:00:00
user_145,add_to_cart,2025-06-26 22:00:00
user_146,signup,2025-06-26 00:00:00
user_146,browse,2025-06-26 13:00:00
user_146,add_to_cart,2025-06-27 04:00:00
user_146,purchase,2025-06-27 23:00:00
user_147,signup,2025-06-14 00:00:00
user_147,browse,2025-06-14 20:00:00
user_148,signup,2025-06-04 00:00:00
user_148,browse,2025-06-04 07:00:00
user_148,add_to_cart,2025-06-04 10:00:00
user_148,purchase,2025-06-04 16:00:00
user_149,signup,2025-06-18 00:00:00
user_149,browse,2025-06-18 15:00:00
user_150,signup,2025-06-16 00:00:00
user_150,browse,2025-06-16 23:00:00
user_150,add_to_cart,2025-06-17 14:00:00
user_150,purchase,2025-06-17 22:00:00
user_151,signup,2025-06-30 00:00:00
user_151,browse,2025-06-30 19:00:00
user_152,signup,2025-06-30 00:00:00
user_152,browse,2025-06-30 08:00:00
user_153,signup,2025-06-30 00:00:00
user_153,browse,2025-06-30 02:00:00
user_153,add_to_cart,2025-06-30 12:00:00
user_154,signup,2025-06-27 00:00:00
user_154,browse,2025-06-27 04:00:00
user_154,add_to_cart,2025-06-27 14:00:00
user_155,signup,2025-07-01 00:00:00
user_155,browse,2025-07-01 15:00:00
user_155,add_to_cart,2025-07-01 17:00:00
user_156,signup,2025-06-24 00:00:00
user_156,browse,2025-06-24 03:00:00
user_156,add_to_cart,2025-06-25 01:00:00
user_157,signup,2025-06-19 00:00:00
user_157,browse,2025-06-19 22:00:00
user_158,signup,2025-06-19 00:00:00
user_158,browse,2025-06-19 16:00:00
user_158,add_to_cart,2025-06-20 07:00:00
user_159,signup,2025-06-06 00:00:00
user_159,browse,2025-06-06 16:00:00
user_160,signup,2025-06-16 00:00:00
user_160,browse,2025-06-16 22:00:00
user_160,add_to_cart,2025-06-17 04:00:00
user_161,signup,2025-06-23 00:00:00
user_161,browse,2025-06-23 13:00:00
user_162,signup,2025-06-18 00:00:00
user_162,browse,2025-06-18 09:00:00
user_162,add_to_cart,2025-06-18 22:00:00
user_163,signup,2025-06-27 00:00:00
user_163,browse,2025-06-27 18:00:00
user_163,add_to_cart,2025-06-27 20:00:00
user_163,purchase,2025-06-28 08:00:00
user_164,signup,2025-06-20 00:00:00
user_164,browse,2025-06-20 02:00:00
user_164,add_to_cart,2025-06-20 20:00:00
user_164,purchase,2025-06-21 06:00:00
user_165,signup,2025-06-15 00:00:00
user_165,browse,2025-06-15 01:00:00
user_166,signup,2025-06-20 00:00:00
user_166,browse,2025-06-20 10:00:00
user_166,add_to_cart,2025-06-21 04:00:00
user_167,signup,2025-06-08 00:00:00
user_168,signup,2025-06-15 00:00:00
user_168,browse,2025-06-15 05:00:00
user_168,add_to_cart,2025-06-16 04:00:00
user_168,purchase,2025-06-17 03:00:00
user_169,signup,2025-06-09 00:00:00
user_169,browse,2025-06-09 16:00:00
user_169,add_to_cart,2025-06-10 10:00:00
user_169,purchase,2025-06-10 17:00:00
user_170,signup,2025-06-30 00:00:00
user_170,browse,2025-06-30 05:00:00
user_171,signup,2025-06-09 00:00:00
user_172,signup,2025-06-11 00:00:00
user_172,browse,2025-06-11 01:00:00
user_172,add_to_cart,2025-06-11 11:00:00
user_173,signup,2025-06-19 00:00:00
user_173,browse,2025-06-19 05:00:00
user_173,add_to_cart,2025-06-19 21:00:00
user_174,signup,2025-06-18 00:00:00
user_174,browse,2025-06-18 11:00:00
user_175,signup,2025-06-23 00:00:00
user_175,browse,2025-06-23 14:00:00
user_175,add_to_cart,2025-06-24 14:00:00
user_176,signup,2025-06-30 00:00:00
user_176,browse,2025-06-30 22:00:00
user_177,signup,2025-06-21 00:00:00
user_177,browse,2025-06-21 02:00:00
user_177,add_to_cart,2025-06-21 21:00:00
user_178,signup,2025-06-04 00:00:00
user_178,browse,2025-06-04 17:00:00
user_179,signup,2025-06-01 00:00:00
user_179,browse,2025-06-01 21:00:00
user_180,signup,2025-06-03 00:00:00
user_181,signup,2025-06-11 00:00:00
user_181,browse,2025-06-11 03:00:00
user_182,signup,2025-06-28 00:00:00
user_182,browse,2025-06-28 11:00:00
user_183,signup,2025-06-29 00:00:00
user_184,signup,2025-06-02 00:00:00
user_184,browse,2025-06-02 22:00:00
user_185,signup,2025-06-08 00:00:00
user_185,browse,2025-06-08 04:00:00
user_186,signup,2025-06-23 00:00:00
user_186,browse,2025-06-23 23:00:00
user_186,add_to_cart,2025-06-24 00:00:00
user_186,purchase,2025-06-24 02:00:00
user_187,signup,2025-06-10 00:00:00
user_187,browse,2025-06-10 08:00:00
user_187,add_to_cart,2025-06-11 03:00:00
user_188,signup,2025-06-06 00:00:00
user_188,browse,2025-06-06 13:00:00
user_189,signup,2025-06-08 00:00:00
user_189,browse,2025-06-08 08:00:00
user_189,add_to_cart,2025-06-08 17:00:00
user_190,signup,2025-06-22 00:00:00
user_191,signup,2025-06-29 00:00:00
user_191,browse,2025-06-29 03:00:00
user_191,add_to_cart,2025-06-29 15:00:00
user_192,signup,2025-06-10 00:00:00
user_192,browse,2025-06-10 09:00:00
user_192,add_to_cart,2025-06-10 19:00:00
user_192,purchase,2025-06-11 08:00:00
user_193,signup,2025-06-28 00:00:00
user_193,browse,2025-06-28 19:00:00
user_193,add_to_cart,2025-06-29 05:00:00
user_194,signup,2025-06-10 00:00:00
user_195,signup,2025-06-13 00:00:00
user_195,browse,2025-06-13 22:00:00
user_196,signup,2025-06-02 00:00:00
user_196,browse,2025-06-02 10:00:00
user_197,signup,2025-06-08 00:00:00
user_197,browse,2025-06-08 21:00:00
user_197,add_to_cart,2025-06-09 06:00:00
user_198,signup,2025-06-24 00:00:00
user_198,browse,2025-06-24 05:00:00
user_199,signup,2025-06-29 00:00:00
user_199,browse,2025-06-29 15:00:00
user_199,add_to_cart,2025-06-30 03:00:00
user_200,signup,2025-06-03 00:00:00
user_200,browse,2025-06-03 14:00:00
user_200,add_to_cart,2025-06-03 19:00:00
